period_date,provider_org_code,provider_org_name,elective_ga_ordinary_admissions_ffces,elective_ga_daycase_admissions_ffces,elective_ga_total_admissions_ffces,elective_ga_planned_ordinary_admissions_ffces,elective_ga_planned_daycase_admissions_ffces,elective_ga_planned_total_admissions_ffces,elective_ga_admissions_ffces_nhs_treatment_centres_tcs,total_nonelective_ga_admissions_ffces,gp_referrals_made_all_specialties,gp_referrals_seen_all_specialties,gp_referrals_made_ga,gp_referrals_seen_ga,other_referrals_made_ga,all_1st_outpatient_attendances_ga
2012-01-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,12,4,0,0,0,0
2012-02-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,7,10,0,0,0,0
2012-03-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,16,5,0,0,0,0
2012-04-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,3,6,0,0,0,0
2012-05-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,9,9,0,0,0,0
2012-06-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,10,9,0,0,0,0
2012-07-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,14,17,0,0,0,0
2012-08-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,16,6,0,0,0,0
2012-09-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,9,13,0,0,0,0
2012-10-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,8,11,0,0,0,0
